구분,시도,시군구,읍면동,전송속도(다운로드),전송속도(업로드),접속성공률(다운로드),접속성공률(업로드),전송성공률(다운로드),전송성공률(업로드),LTE 전환율(다운로드),LTE 전환율(업로드),접속시간(다운로드),접속시간(업로드),평균 지연,평균 손실률
지역,경기도,김포시,통진읍,840.03,91.74,100,100,100,100,0.00%,0.13%,32.27,35.69,17.14,0.02
지역,경기도,남양주시,별내면,1050.05,90,100,100,100,100,0.09%,0.00%,31.33,31.5,13.84,0.02
지역,경기도,남양주시,진건읍,851.66,78.24,100,100,100,100,0.08%,0.00%,29.38,35.91,17.51,0.02
지역,경기도,동두천시,송내동,1150.15,96.74,100,100,100,100,0.00%,0.00%,25.69,30.55,14.4,0.01
지역,경기도,부천시,대산동,1040.44,102.27,100,100,100,100,0.00%,0.00%,33.27,30.89,14.95,0
지역,경기도,성남시,은행2동,1002.79,98.42,100,100,100,100,0.63%,1.39%,32.83,29.91,14.75,0.21
지역,경기도,성남시,정자동,952.41,99.36,100,100,100,100,0.15%,0.00%,35.65,37.56,14.17,0
지역,경기도,성남시,태평3동,1153.43,121.22,100,100,100,100,0.00%,0.00%,36.83,38.29,13.81,0
지역,경기도,수원시,고등동,994.4,91.59,100,100,99.87,100,0.70%,1.03%,59.04,58.78,16.8,0
지역,경기도,수원시,금곡동,901.39,90.84,100,100,100,100,0.00%,0.00%,52.77,55.64,19.51,0.16
지역,경기도,수원시,정자3동,967.25,92.52,100,100,100,100,0.50%,0.59%,48.98,52.82,16.59,0.01
지역,경기도,시흥시,연성동,1021.46,87,100,100,100,100,0.00%,0.08%,25.61,31.81,14.01,0
지역,경기도,안산시,초지동,911.33,94.61,100,100,100,100,0.09%,0.00%,42.86,46.6,16.12,0
지역,경기도,안성시,죽산면,589.12,60.65,100,100,100,100,0.00%,0.00%,31.68,30.73,14.19,0
지역,경기도,안양시,평안동,874.9,88.42,100,100,99.85,100,0.00%,0.12%,45.93,47.35,15.12,0.2
지역,경기도,양주시,백석읍,832.46,73.78,100,100,100,100,0.07%,0.07%,29.42,32.1,16.27,0.02
지역,경기도,양평군,옥천면,560.77,52.73,100,100,100,100,0.00%,0.00%,62.11,64.19,18.01,0.08
지역,경기도,여주시,가남읍,568.98,53.41,100,100,100,100,0.00%,0.00%,65.55,63.03,36.6,0.04
지역,경기도,여주시,오학동,1060.65,113.56,100,100,100,100,0.00%,0.00%,35.29,31.02,14.1,0
지역,경기도,오산시,대원동,957.96,103.08,100,100,100,100,0.28%,0.35%,40.22,39.68,14.98,0.01
지역,경기도,용인시,동천동,1105.87,100.36,100,100,100,100,0.00%,0.23%,47.98,40.92,16.03,0.04
지역,경기도,용인시,보라동,974.15,92.08,100,100,100,100,0.67%,0.19%,46.9,53.8,16.2,0
지역,경기도,의정부시,호원1동,1017.81,87.16,100,100,100,100,0.12%,0.00%,26.85,26.18,13.44,0.02
지역,경기도,이천시,부발읍,533.29,61.65,100,100,100,100,0.00%,0.00%,27.16,30.91,15.32,0
지역,경기도,파주시,운정5동,970.74,93.29,100,100,100,100,0.00%,0.00%,32.36,30.4,14.13,0.01
지역,경기도,파주시,파주읍,453.28,49.55,100,100,99.86,100,0.23%,0.00%,37.32,35.29,21.76,0.12
지역,경기도,평택시,안중읍,857.38,88,100,100,100,100,0.73%,0.21%,52.31,54.61,17,0
지역,경기도,평택시,청북읍,755.9,75.05,100,100,100,99.91,1.71%,0.69%,59.3,53.85,18.55,0.02
지역,경기도,포천시,일동면,514.77,50.81,99.85,100,99.85,99.85,1.20%,0.92%,33.95,34.28,17.49,0
지역,경기도,화성시,동탄1동,909.23,95.18,100,100,99.92,100,0.06%,0.07%,44.56,45.52,14.88,0.02
지역,경기도,화성시,동탄3동,1024.45,94.38,100,100,100,100,0.00%,0.00%,34.79,38.98,14.29,0
지역,경기도,화성시,우정읍,703.77,76.85,100,100,99.83,100,2.57%,1.63%,55.74,47.46,18.06,0.03
지역,경기도,화성시,장안면,809.54,85.39,100,100,99.9,99.9,1.42%,1.00%,50.23,48.23,19.57,0.05
지역,경기도,화성시,정남면,776,76.94,100,100,99.39,100,0.97%,0.50%,53.43,57.36,23.73,0.07
지역,경상남도,거제시,옥포2동,982.93,95.69,100,100,100,100,0.49%,0.12%,40.46,31.12,17.26,0
지역,경상남도,고성군,고성읍,729.31,99.83,100,99.83,100,99.83,0.99%,0.75%,64.73,68.66,24.14,0.31
지역,경상남도,김해시,장유3동,894,85.93,100,100,100,100,0.28%,0.00%,32.56,32.89,15.92,0.07
지역,경상남도,김해시,진영읍,590.65,49.88,100,100,99.84,99.69,1.26%,0.00%,61.79,57.63,28.09,0.16
지역,경상남도,밀양시,삼문동,1026.57,101.79,100,100,100,100,0.00%,0.00%,50.83,53.06,17.02,0
지역,경상남도,사천시,벌용동,1012.11,106.04,100,100,100,100,0.25%,0.00%,28.43,31.43,19.4,0.13
지역,경상남도,양산시,양주동,1011.52,104.81,100,100,100,100,0.12%,0.12%,28.25,34.61,15.89,0.08
지역,경상남도,의령군,의령읍,638.63,84.35,100,100,100,100,1.24%,1.51%,56.37,64.72,20.9,0.13
지역,경상남도,진주시,평거동,814.51,95.28,100,100,100,100,0.25%,0.00%,34.88,32.12,17.73,0.04
지역,경상남도,창원시,대산면,508.31,46.84,100,100,99.85,99.85,4.06%,5.31%,59.93,60.16,27.85,0.43
지역,경상남도,창원시,사파동,837.02,84.05,100,100,100,100,0.00%,0.13%,33.39,35.79,19.25,0.19
지역,경상남도,창원시,양덕2동,924.46,110.67,100,100,100,100,0.00%,0.00%,29.02,30.68,16.28,0.19
지역,경상남도,창원시,팔룡동,898.15,83.41,100,100,100,100,0.10%,0.00%,27.83,28.76,17.02,0.1
지역,경상남도,창원시,풍호동,782.86,69.77,100,100,100,100,2.16%,0.79%,29.29,28.37,20.71,0.15
지역,경상남도,통영시,무전동,1060.72,107.43,100,100,100,100,0.00%,0.12%,33.22,35.5,15.83,0
지역,경상북도,경산시,서부2동,801.72,89.25,100,100,100,100,0.12%,0.12%,34.58,31.46,17.31,0
지역,경상북도,경주시,강동면,430.97,36.1,100,100,100,99.71,8.31%,3.10%,48.88,48.15,42.71,0.2
지역,경상북도,경주시,동천동,889.92,83.81,100,100,100,100,0.12%,0.00%,32.85,34.68,19.17,0.04
지역,경상북도,구미시,양포동,952,101.8,100,100,100,100,0.12%,0.00%,34.57,30.1,18.09,0
지역,경상북도,구미시,인동동,911.39,95.93,100,100,100,100,0.00%,0.34%,30.99,31.42,17.68,1.29
지역,경상북도,김천시,대신동,876.77,94.47,100,100,100,100,0.62%,1.91%,41.83,37.27,18.12,0.29
지역,경상북도,상주시,남원동,927.47,100.17,100,100,100,100,0.12%,0.13%,37.22,38.11,17.53,0.07
지역,경상북도,성주군,월항면,488.21,46.47,100,100,99.83,100,6.98%,1.33%,47.04,51.24,28.95,0.11
지역,경상북도,안동시,태화동,1045.99,106.06,100,100,100,100,0.74%,4.07%,40.79,37.19,17.7,0.07
지역,경상북도,안동시,풍천면,547.51,46.62,100,100,100,99.82,15.09%,5.68%,41.33,37.99,42.88,0
지역,경상북도,영천시,동부동,846.11,79.92,100,100,100,100,5.56%,3.15%,32.16,34.59,19.98,0
지역,경상북도,의성군,의성읍,610.13,62.12,100,100,100,100,0.00%,0.00%,33.32,36.45,33.77,0
지역,경상북도,칠곡군,북삼읍,517.32,58.21,100,100,100,100,0.00%,0.65%,35.9,32.9,31.1,0.23
지역,경상북도,포항시,장량동,1006.07,98.99,100,100,100,100,0.00%,0.00%,37.17,38.84,20.1,0.04
지역,경상북도,포항시,효곡동,897.49,78.39,100,100,100,100,1.73%,0.66%,38.49,31.48,19.54,0.06
지역,광주광역시,광산구,수완동,1047.92,108.6,100,100,100,100,0.12%,0.47%,54.9,56.11,20.76,0.04
지역,광주광역시,광산구,신창동,1026.96,106.78,100,100,100,100,0.67%,1.25%,61.43,69.87,21.88,0
지역,광주광역시,남구,효덕동,977.27,85.05,100,100,99.88,100,0.00%,0.00%,64.39,52.91,22.01,0
지역,광주광역시,동구,충장동,1114.24,123.7,100,100,99.88,100,0.00%,0.00%,71.93,64.1,20.59,0
지역,광주광역시,북구,매곡동,1076.04,100.65,100,100,100,100,0.00%,0.00%,42.85,40.44,18.42,0.05
지역,광주광역시,북구,신용동,865.22,92.74,100,100,100,100,0.00%,0.00%,42.41,40.87,19.06,0
지역,광주광역시,서구,금호2동,1005.69,98.83,100,100,100,100,0.12%,0.12%,55.14,49.94,21.69,0.03
지역,광주광역시,서구,치평동,940.17,95.19,100,100,100,100,0.00%,0.11%,61.74,66.35,20.5,0
지역,대구광역시,남구,대명9동,1138.71,108.89,100,100,100,100,0.12%,0.00%,36.67,36.96,15.92,0
지역,대구광역시,달서구,월성1동,1000.11,112.09,100,100,100,100,0.12%,0.25%,34.86,37.89,16.15,0.21
지역,대구광역시,달성군,다사읍,840.24,94.92,100,100,100,100,1.46%,0.00%,33.86,34.34,16.8,0.07
지역,대구광역시,달성군,유가읍,740,71.76,100,100,100,99.85,5.76%,4.98%,35.68,37.28,20.25,0.05
지역,대구광역시,동구,신천4동,995.8,107.93,100,100,100,100,0.12%,0.25%,30.73,36.88,16.25,0
지역,대구광역시,동구,안심4동,910.33,101.97,100,100,100,100,0.00%,0.00%,36.26,36.13,16.44,0.07
지역,대구광역시,북구,복현2동,983.09,113.12,100,100,100,100,0.00%,0.00%,31.62,23.52,16.39,0
지역,대구광역시,서구,평리1동,1000.57,100.87,100,100,100,100,1.11%,0.25%,35.73,32.99,15.89,0.04
지역,대구광역시,수성구,황금1동,1018.07,120.59,100,100,100,100,0.00%,0.00%,37.97,36.57,15.84,0.04
지역,대구광역시,중구,남산4동,916.92,112.57,100,100,100,100,0.00%,0.13%,27.23,30.09,15.74,0.04
지역,대전광역시,대덕구,송촌동,891.42,92.38,100,100,100,100,0.00%,0.00%,39.8,41.84,16.08,0.03
지역,대전광역시,대덕구,신탄진동,907.31,87.78,100,100,100,100,0.00%,0.00%,41.83,43.78,16.95,0.06
지역,대전광역시,동구,삼성동,938.68,104.51,100,100,100,100,0.00%,0.26%,48.73,41.2,15.77,0
지역,대전광역시,동구,용전동,937.92,101.79,100,100,100,100,0.11%,0.11%,51.14,46.24,15.83,0
지역,대전광역시,서구,둔산2동,786.47,96.58,100,100,99.64,100,0.00%,0.19%,53.78,49.66,19.37,0
지역,대전광역시,서구,탄방동,925.66,98.91,100,100,100,100,0.00%,0.11%,48.32,50.57,16.24,0
지역,대전광역시,유성구,구즉동,757.49,75.15,100,100,100,100,0.47%,0.10%,48.84,54.61,20.53,0.08
지역,대전광역시,유성구,노은3동,816.58,91.21,100,100,100,100,0.00%,0.00%,46.23,43.86,17.08,0
지역,대전광역시,중구,대흥동,863.4,100.87,100,100,99.69,100,0.37%,0.00%,49.36,39.33,16.32,0.07
지역,대전광역시,중구,태평2동,824.28,92.49,100,100,100,100,0.22%,1.22%,41.75,40.05,18.7,0.06
지역,부산광역시,기장군,기장읍,881.73,95.63,100,100,100,100,2.68%,2.75%,33.04,33.28,17.93,0.08
지역,부산광역시,기장군,정관읍,883.99,84.94,100,100,100,100,1.08%,2.34%,34.3,33.71,18.08,0
지역,부산광역시,남구,대연제4동,909.94,92.92,100,100,100,100,0.00%,0.13%,32.75,29,16.98,0
지역,부산광역시,남구,용호제2동,920.67,105.58,100,100,100,100,0.25%,0.00%,28.57,29.66,16.52,0
지역,부산광역시,동구,수정제2동,930.86,100.02,100,100,100,100,0.87%,1.25%,30.87,30.8,15.38,0
지역,부산광역시,동래구,온천제3동,984.03,99.89,100,100,100,100,0.00%,0.14%,28.53,30.04,15.02,0.02
지역,부산광역시,부산진구,연지동,990.75,104,100,100,100,100,0.00%,0.00%,32.65,31.05,15.38,0
지역,부산광역시,북구,금곡동,1026.67,102.22,100,100,100,100,0.00%,0.63%,31.78,34.58,15.71,0.13
지역,부산광역시,사하구,장림제2동,995.02,107.86,100,100,100,100,0.00%,0.00%,37.26,33.48,16.13,0
지역,부산광역시,서구,서대신제3동,959.45,104.12,100,100,100,100,0.12%,0.00%,29.48,31.31,15.95,0
지역,부산광역시,수영구,망미제1동,1011.17,113.99,100,100,100,100,0.25%,0.00%,30.42,30.94,14.63,0.03
지역,부산광역시,연제구,연산제2동,919.33,103.15,100,100,100,100,0.37%,0.12%,29.12,30.37,15.64,0.06
지역,부산광역시,영도구,동삼제1동,1023.19,105.67,100,100,100,100,0.25%,0.00%,29.64,30.25,16.39,0.08
지역,부산광역시,중구,보수동,1009.08,103.18,100,100,100,100,0.00%,0.00%,28.1,27.29,15.8,0
지역,부산광역시,해운대구,송정동,929.5,93.24,100,100,100,100,0.00%,0.10%,34.17,39.84,14.79,0.02
지역,서울특별시,강남구,개포3동,1120.82,93.96,100,100,100,100,0.00%,0.00%,30.92,30.17,13.36,0
지역,서울특별시,강남구,대치1동,1219.57,109.86,100,100,100,100,0.00%,0.00%,28.59,32.03,13.3,0
지역,서울특별시,강동구,둔촌제2동,1176.76,94.07,99.84,100,99.84,100,0.00%,0.62%,33.84,29.29,13.36,0
지역,서울특별시,강북구,수유1동,1236.31,104.32,100,100,100,100,0.00%,0.00%,32.17,31.46,14.75,0
지역,서울특별시,강서구,등촌3동,1205.88,99.09,100,99.87,100,99.87,0.10%,0.31%,35.04,35.58,14.12,0.16
지역,서울특별시,관악구,보라매동,1177.49,96.92,100,100,100,100,0.00%,0.00%,39.15,33.07,13.46,0.03
지역,서울특별시,광진구,구의제1동,1240.96,107.44,100,100,100,100,0.00%,0.00%,30.44,33.07,13.29,0
지역,서울특별시,구로구,개봉제1동,1061.95,94.99,100,100,100,100,0.00%,0.00%,27.02,35.46,13.36,0
지역,서울특별시,구로구,오류제1동,1139.35,102.78,100,100,100,100,0.00%,0.22%,32.83,32.44,14.1,0
지역,서울특별시,금천구,시흥제2동,1063.06,90.28,100,100,100,100,0.00%,0.00%,29.51,33.22,15.53,0.33
지역,서울특별시,노원구,공릉1동,1059.25,97.15,100,100,100,100,0.97%,0.32%,30.65,36.12,13.35,0.18
지역,서울특별시,도봉구,도봉제2동,1098.31,102.47,100,100,100,100,0.00%,0.00%,33.32,29.47,13.84,0
지역,서울특별시,도봉구,방학2동,1225.42,95.12,100,100,100,100,0.00%,0.00%,34.78,30.59,14.66,0.02
지역,서울특별시,동대문구,휘경제2동,1335.73,112.59,100,100,100,100,0.00%,0.00%,31.9,43.44,12.63,0
지역,서울특별시,동작구,흑석동,1213.02,108.54,100,100,100,100,0.00%,0.00%,34.83,34.12,13.42,0
지역,서울특별시,마포구,서교동,1357.25,126.58,100,100,100,100,0.00%,0.00%,25.88,32.12,12.64,0
지역,서울특별시,서대문구,남가좌2동,1243.06,113.76,100,100,100,100,0.00%,0.00%,24.92,28.38,12.83,0.14
지역,서울특별시,서초구,잠원동,1017.54,93.55,100,100,100,100,0.55%,0.67%,30.71,27.38,15.5,0.21
지역,서울특별시,성동구,행당제1동,1145,101.37,100,100,100,100,0.00%,0.00%,32.52,32.73,13.83,0
지역,서울특별시,성북구,보문동,1222.58,106.34,100,100,100,100,0.00%,0.00%,33.81,26.4,12.95,0.02
지역,서울특별시,송파구,마천2동,1067.23,94.66,100,100,100,100,0.00%,0.00%,27.98,32.13,14.54,0.07
지역,서울특별시,송파구,잠실2동,977.03,98.87,100,100,100,100,0.00%,0.00%,30.04,27.17,15.38,0.41
지역,서울특별시,양천구,목5동,984.79,87.23,100,100,100,100,0.74%,0.39%,33.49,36.12,18.61,0
지역,서울특별시,영등포구,신길제3동,1099.1,95.48,100,100,100,100,0.00%,0.00%,36.53,35.29,13.89,0
지역,서울특별시,용산구,청파동,1208.99,108.97,100,100,100,100,1.36%,1.49%,33.76,45.21,12.68,0.03
지역,서울특별시,은평구,불광제2동,1146.77,98.43,100,100,100,100,0.00%,0.00%,20.29,19.41,11.82,0.03
지역,서울특별시,종로구,종로5.6가동,1270.57,112.87,100,100,100,100,0.00%,0.24%,27.06,30.61,13.04,0.2
지역,서울특별시,중구,신당제5동,1296.78,104.58,100,100,100,100,0.00%,0.00%,31.35,25.16,13.68,0
지역,서울특별시,중랑구,묵제2동,1141.75,94.65,100,100,100,100,0.00%,0.00%,29.34,34.62,14.21,0.06
지역,서울특별시,중랑구,중화제1동,1116.58,88.47,100,100,100,100,0.00%,0.00%,38.78,32.96,14.29,0
지역,세종특별자치시,-,고운동,896.98,94.1,100,100,100,100,0.00%,0.00%,46.81,47.4,16.53,0
지역,세종특별자치시,-,도담동,902.73,97.67,100,100,100,100,0.13%,0.00%,50.22,43.65,16.89,0
지역,세종특별자치시,-,조치원읍,514.14,57.2,100,100,99.84,100,0.00%,0.00%,37.45,33.25,21.97,0.2
지역,울산광역시,남구,삼산동,1007.82,108.56,100,100,100,100,0.00%,0.00%,32.84,31.51,19.61,0
지역,울산광역시,동구,전하2동,885.97,84.68,100,100,100,100,0.00%,0.00%,38.3,36.27,18.19,0
지역,울산광역시,북구,효문동,855.45,80.62,100,100,100,100,0.12%,0.00%,39.93,33.81,22.04,0
지역,울산광역시,울주군,범서읍,911.55,90.85,100,100,100,100,6.08%,3.54%,42.27,37.1,21.2,0
지역,울산광역시,울주군,삼남읍,715.62,65.83,100,100,100,99.91,1.78%,1.29%,40.83,37.01,23.09,0.02
지역,울산광역시,중구,태화동,944.47,90.12,100,100,100,100,0.00%,0.24%,30.73,32.85,18.6,0
지역,인천광역시,계양구,계산4동,1184.96,109.62,100,100,100,100,0.12%,0.00%,32.11,29.99,14.47,0
지역,인천광역시,남동구,간석3동,1221.93,102.2,100,100,100,100,0.00%,0.00%,29.21,29.49,13.63,0.02
지역,인천광역시,남동구,서창2동,1268.44,104.87,100,100,100,100,0.00%,0.00%,23.88,30.13,14.74,0
지역,인천광역시,동구,송현1.2동,1180.07,103,100,100,100,100,0.00%,0.00%,34.06,31.51,14.51,0
지역,인천광역시,미추홀구,숭의4동,1159.68,90.08,100,100,100,100,0.12%,0.00%,24.17,34.41,14.87,0
지역,인천광역시,미추홀구,학익1동,1173.81,103.39,100,100,100,100,0.00%,0.00%,35.22,33.45,14.21,0
지역,인천광역시,부평구,부평1동,1213.45,108.95,100,100,100,100,0.00%,0.00%,28.56,29.02,14.47,0
지역,인천광역시,부평구,삼산1동,1276.08,109,100,100,100,100,0.12%,0.12%,31.44,29.64,14.01,0.09
지역,인천광역시,서구,검암경서동,1157.34,101.18,100,100,100,100,0.00%,0.00%,27.89,28.89,14.08,0
지역,인천광역시,서구,마전동,1058.29,90.95,100,100,100,100,0.16%,0.24%,32.98,29.57,16.88,0
지역,인천광역시,연수구,송도1동,958.27,93.59,100,99.9,100,99.9,0.00%,0.25%,31.73,34.7,16.42,0
지역,인천광역시,연수구,연수3동,1200.62,100.37,100,100,100,100,0.00%,0.00%,28.55,27.07,14.34,0.02
지역,인천광역시,중구,신흥동,1002.02,89.92,100,100,100,100,0.00%,0.00%,31.38,31.23,15.33,0.01
지역,인천광역시,중구,영종1동,956.39,91.38,100,100,100,100,0.00%,0.00%,34.56,34.81,14.78,0.01
지역,전라남도,광양시,광양읍,369.74,70.14,100,100,100,100,1.63%,0.77%,60.48,56.29,26.14,0.03
지역,전라남도,광양시,중마동,863.43,94.12,100,100,100,100,0.09%,0.09%,49.16,47.38,18.63,0.09
지역,전라남도,나주시,빛가람동,816.93,83.33,100,100,100,100,0.00%,0.00%,49.65,47.24,19.21,0.04
지역,전라남도,나주시,성북동,986.58,99.37,100,100,100,100,0.00%,0.00%,52.2,50.82,18.64,0
지역,전라남도,목포시,부주동,797.12,78.34,100,100,99.88,100,0.93%,0.66%,56.92,55.99,19.81,0
지역,전라남도,순천시,덕연동,839.05,77,100,100,100,100,0.24%,0.16%,55.27,48.16,21.67,0
지역,전라남도,순천시,별량면,422.52,56.46,100,100,99.85,100,1.48%,0.66%,65.94,62.22,28.34,0.05
지역,전라남도,순천시,왕조1동,801.96,86.39,100,100,100,100,4.26%,3.32%,46.16,39.88,20.72,0
지역,전라남도,여수시,쌍봉동,895.91,95.63,100,100,100,100,0.74%,0.12%,49.36,40.46,19.33,0
지역,전라남도,영암군,신북면,499.61,58.14,100,99.85,100,99.85,2.44%,1.95%,64.11,69.94,27.55,0.08
지역,전라남도,함평군,함평읍,480.44,54.15,100,100,99.85,100,0.00%,0.00%,55.68,56.62,27.84,0
지역,전라북도,군산시,흥남동,818.49,87.37,100,100,100,100,0.00%,0.25%,55.08,52.42,20.17,0
지역,전라북도,김제시,검산동,974.19,98.22,100,100,100,100,0.69%,0.40%,49.65,47.73,18.86,0
지역,전라북도,김제시,금구면,446.5,54.3,100,100,100,100,2.41%,2.88%,56.21,63.88,31.12,0.12
지역,전라북도,남원시,도통동,985.2,98.81,100,100,100,100,0.25%,0.25%,33.98,37.04,18.03,0
지역,전라북도,완주군,삼례읍,389.33,60.81,100,100,99.68,100,1.54%,0.54%,57.43,51.79,33.06,0.15
지역,전라북도,익산시,신동,940.49,94.64,100,100,100,100,0.12%,0.00%,53.12,50.96,22.35,0
지역,전라북도,전주시,조촌동,710.55,72.02,100,100,99.73,100,1.60%,2.60%,53.76,57.13,21.99,0.2
지역,전라북도,전주시,중화산2동,906.44,93.77,100,100,100,100,0.00%,2.89%,53.28,56.67,19.74,0
지역,전라북도,정읍시,태인면,385.56,52.89,100,100,100,100,1.48%,0.66%,53.81,49.11,33.4,0
지역,전라북도,정읍시,내장상동,942.14,108.95,100,100,100,100,2.67%,2.83%,41.1,30.96,19.2,0.02
지역,제주특별자치도,서귀포시,대륜동,940.76,93.88,100,100,100,99.8,1.13%,0.50%,65.35,62.42,23.69,0
지역,제주특별자치도,제주시,노형동,876.23,96.32,100,100,99.89,100,3.25%,0.90%,57.21,59.47,25.64,0
지역,제주특별자치도,제주시,연동,956.04,114.64,100,99.87,100,99.87,0.00%,0.00%,53.15,48.2,19.77,0
지역,제주특별자치도,제주시,조천읍,429.68,54.55,100,100,99.85,99.69,0.38%,0.00%,60.25,59.13,24.64,0.04
지역,충청남도,공주시,신관동,1012.48,106.27,100,100,99.73,100,0.00%,0.00%,59.04,62.46,19.46,0.03
지역,충청남도,당진시,당진1동,917.3,97.48,100,100,100,100,0.09%,0.00%,43.88,48.42,19.82,0.02
지역,충청남도,보령시,대천1동,876.64,97.83,100,100,99.88,100,0.10%,0.29%,54.87,54.63,19.15,0
지역,충청남도,서산시,부춘동,894.69,94.78,100,100,100,100,0.00%,0.11%,44.11,48.1,19.08,0
지역,충청남도,아산시,온양2동,895.6,97.51,100,100,100,100,0.00%,0.00%,46.33,37.52,18.96,0.06
지역,충청남도,예산군,오가면,453.6,47.1,100,100,99.85,99.69,0.74%,0.73%,39.2,34.05,20.12,0.09
지역,충청남도,천안시,백석동,766.58,85.23,100,100,99.91,100,0.71%,1.25%,42.57,39.66,19.23,0.06
지역,충청남도,천안시,성환읍,427.74,53.91,100,100,99.85,100,0.12%,0.78%,44.21,48.62,17.17,0.04
지역,충청남도,천안시,청룡동,790.57,87.32,100,100,100,100,0.74%,0.27%,56.27,55.6,21.5,0
지역,충청북도,음성군,금왕읍,529.45,58.62,100,100,100,99.81,17.50%,15.26%,47.53,42.23,32.7,0
지역,충청북도,제천시,화산동,1007.19,105.77,100,100,100,100,0.13%,0.37%,37.26,43.99,17.74,0
지역,충청북도,청주시,남일면,518.89,55.57,100,100,100,99.84,0.00%,0.00%,45.45,40.95,17.81,0
지역,충청북도,청주시,산남동,910.75,94.04,100,100,100,100,0.62%,0.62%,40.89,37.05,17.36,0.03
지역,충청북도,청주시,용암2동,823.17,87.73,100,100,100,100,1.37%,1.00%,40.31,45.5,15.85,0
지역,충청북도,청주시,율량.사천동,781.55,94.31,100,100,99.88,100,0.00%,0.20%,41.62,42.53,17.75,0.04
지역,충청북도,충주시,연수동,923.13,93.28,100,100,99.87,100,1.40%,0.40%,51.3,51.42,17.35,0.05
지역,충청북도,충주시,용산동,1067.92,103.98,100,100,100,100,0.00%,0.00%,45.86,50.4,17.27,0.04
(교통) 고속도로,-,-,경부고속도로,615.67,69.87,100,100,99.97,100,1.15%,0.92%,39.13,39.67,20.55,0.04
(교통) 고속도로,-,-,광주대구고속도로,565.48,71.8,100,100,99.95,100,9.63%,9.43%,51.4,54.34,25.83,0.14
(교통) 고속도로,-,-,대구부산고속도로,580.09,62.35,100,100,100,100,0.72%,3.28%,65.25,58.69,25.86,0.05
(교통) 고속도로,-,-,서해안고속도로,609.51,70.83,100,100,99.98,100,0.71%,0.85%,43.97,44.08,20,0.08
(교통) 지하철,광주광역시,-,광주 1호선(1차 측정),1104.13,100.34,100,100,100,100,0.00%,0.94%,52.88,62.18,21.78,0.15
(교통) 지하철,광주광역시,-,광주 1호선(2차 측정),1142.71,94.78,100,100,100,100,0.14%,0.00%,21.61,22.44,18.73,0.03
(교통) 지하철,대구광역시,-,대구 1호선,1114.3,99.81,100,100,100,100,0.00%,0.00%,51.51,50.88,16.36,0.08
(교통) 지하철,대구광역시,-,대구 2호선,1240.16,108.07,100,100,100,100,0.00%,0.00%,40.4,39.15,15.72,0.03
(교통) 지하철,대구광역시,-,대구 3호선,955.96,107.07,100,100,100,100,0.15%,0.15%,48.58,34.1,17.05,0.08
(교통) 지하철,대전광역시,-,대전 1호선,1220.48,110.22,100,100,100,100,0.00%,0.17%,47.24,53.15,15.12,0.02
(교통) 지하철,부산광역시,-,부산 1호선,1097.44,104.97,100,100,100,100,0.00%,0.00%,32.9,36.64,15.7,0.09
